Accession,Description,Gene,MW [kDa],Control_3,Case_3
Q9H6D7,HAUS augmin-like complex subunit 4 OS=Homo sapiens OX=9606 GN=HAUS4 PE=1 SV=1,HAUS4,42.4,615628.3178229713,585280.7286667967
Q8N954,G patch domain-containing protein 11 OS=Homo sapiens OX=9606 GN=GPATCH11 PE=1 SV=4,GPATCH11,33.3,500952.29293019447,220019.37871902267
Q13480,GRB2-associated-binding protein 1 OS=Homo sapiens OX=9606 GN=GAB1 PE=1 SV=2,GAB1,76.6,116800.02061891585,864319.5302286181
Q9NZ45,CDGSH iron-sulfur domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CISD1 PE=1 SV=1,CISD1,12.2,844730.90720892,529284.1436105426
P31930,"Cytochrome b-c1 complex subunit 1, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC1 PE=1 SV=3",UQCRC1,52.6,165894.9715631836,432752.070854248
Q8WVX9,Fatty acyl-CoA reductase 1 OS=Homo sapiens OX=9606 GN=FAR1 PE=1 SV=1,FAR1,59.3,87520.56884662474,661739.4478218583
Q14119,Vascular endothelial zinc finger 1 OS=Homo sapiens OX=9606 GN=VEZF1 PE=1 SV=2,VEZF1,56.9,544199.1707887594,360414.59197886544
P30622,CAP-Gly domain-containing linker protein 1 OS=Homo sapiens OX=9606 GN=CLIP1 PE=1 SV=2,CLIP1,162.1,252788.69021814282,140540.3570399511
P07910,Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4,HNRNPC,33.7,741469.4739915838,3591806.837274805
Q9BRX2,Protein pelota homolog OS=Homo sapiens OX=9606 GN=PELO PE=1 SV=2,PELO,43.3,225999.57046608094,258068.80005027028
P13804,"Electron transfer flavoprotein subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ETFA PE=1 SV=1",ETFA,35.1,298129.302377727,704854.7160593834
P09001,Large ribosomal subunit protein uL3m OS=Homo sapiens OX=9606 GN=MRPL3 PE=1 SV=1,MRPL3,38.6,436582.46780262014,1166990.8418705158
O15084,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Homo sapiens OX=9606 GN=ANKRD28 PE=1 SV=5,ANKRD28,112.9,223950.2544965942,591855.5598094679
Q9NR56,Muscleblind-like protein 1 OS=Homo sapiens OX=9606 GN=MBNL1 PE=1 SV=2,MBNL1,41.8,473486.438569283,835553.9988456616
Q06124,Tyrosine-protein phosphatase non-receptor type 11 OS=Homo sapiens OX=9606 GN=PTPN11 PE=1 SV=3,PTPN11,68.0,298459.25982840994,628408.7235198229
P36402,Transcription factor 7 OS=Homo sapiens OX=9606 GN=TCF7 PE=1 SV=3,TCF7,41.6,600229.6393539037,186896.8779434934
O00231,26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3,PSMD11,47.4,197387.41536503084,87561.78069874711
O75436,Vacuolar protein sorting-associated protein 26A OS=Homo sapiens OX=9606 GN=VPS26A PE=1 SV=2,VPS26A,38.1,599330.4938066874,1957782.6075848674
Q96MW1,Coiled-coil domain-containing protein 43 OS=Homo sapiens OX=9606 GN=CCDC43 PE=1 SV=2,CCDC43,25.2,583907.856513596,669964.2117251707
Q6ZW49,PAX-interacting protein 1 OS=Homo sapiens OX=9606 GN=PAXIP1 PE=1 SV=2,PAXIP1,121.3,453996.0501669035,176760.45566510016
Q9Y6K0,Choline/ethanolaminephosphotransferase 1 OS=Homo sapiens OX=9606 GN=CEPT1 PE=1 SV=1,CEPT1,46.5,608329.7908129394,498579.0559040588
Q9Y6M0,Testisin OS=Homo sapiens OX=9606 GN=PRSS21 PE=1 SV=1,PRSS21,34.9,845722.4015069449,146538.36565316276
Q969N2,GPI transamidase component PIG-T OS=Homo sapiens OX=9606 GN=PIGT PE=1 SV=1,PIGT,65.7,92193.14616462041,209095.53609117903
P46783,Small ribosomal subunit protein eS10 OS=Homo sapiens OX=9606 GN=RPS10 PE=1 SV=1,RPS10,18.9,563450.9032505555,1628854.3464746494
Q15046,Lysine--tRNA ligase OS=Homo sapiens OX=9606 GN=KARS1 PE=1 SV=3,KARS1,68.0,225345.9964794954,670339.8531240538
Q9H074,Polyadenylate-binding protein-interacting protein 1 OS=Homo sapiens OX=9606 GN=PAIP1 PE=1 SV=1,PAIP1,53.5,706380.4352296431,509995.1821285103
Q96G23,Ceramide synthase 2 OS=Homo sapiens OX=9606 GN=CERS2 PE=1 SV=1,CERS2,44.8,409483.17323229165,277392.20890896383
Q13616,Cullin-1 OS=Homo sapiens OX=9606 GN=CUL1 PE=1 SV=2,CUL1,89.6,289278.7135521435,667112.5947048052
Q96B97,SH3 domain-containing kinase-binding protein 1 OS=Homo sapiens OX=9606 GN=SH3KBP1 PE=1 SV=2,SH3KBP1,73.1,280954.0694445513,357626.9903374996
Q6GQQ9,OTU domain-containing protein 7B OS=Homo sapiens OX=9606 GN=OTUD7B PE=1 SV=1,OTUD7B,92.5,375299.9976835782,205758.627567307
Q9P2X0,Dolichol-phosphate mannosyltransferase subunit 3 OS=Homo sapiens OX=9606 GN=DPM3 PE=1 SV=2,DPM3,10.1,348620.1485596339,527988.1817904527
Q13404,Ubiquitin-conjugating enzyme E2 variant 1 OS=Homo sapiens OX=9606 GN=UBE2V1 PE=1 SV=2,UBE2V1,16.5,925023.6314077519,294623.28169472073
O00442,RNA 3'-terminal phosphate cyclase OS=Homo sapiens OX=9606 GN=RTCA PE=1 SV=1,RTCA,39.3,178290.02319552074,524444.8908235818
P29218,Inositol monophosphatase 1 OS=Homo sapiens OX=9606 GN=IMPA1 PE=1 SV=1,IMPA1,30.2,533226.3614377506,869611.1462878317
Q96KB5,Lymphokine-activated killer T-cell-originated protein kinase OS=Homo sapiens OX=9606 GN=PBK PE=1 SV=3,PBK,36.1,245463.95026231732,209143.7262004685
Q13409,Cytoplasmic dynein 1 intermediate chain 2 OS=Homo sapiens OX=9606 GN=DYNC1I2 PE=1 SV=3,DYNC1I2,71.4,120650.85241794508,152770.71502121352
Q96MU7,YTH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=YTHDC1 PE=1 SV=3,YTHDC1,84.6,410933.665470305,337803.4506410195
Q92990,Glomulin OS=Homo sapiens OX=9606 GN=GLMN PE=1 SV=2,GLMN,68.2,702020.7977008102,1044989.9844772071
Q9H568,Actin-like protein 8 OS=Homo sapiens OX=9606 GN=ACTL8 PE=1 SV=1,ACTL8,41.3,449766.48759685695,585032.8765723384
P06703,Protein S100-A6 OS=Homo sapiens OX=9606 GN=S100A6 PE=1 SV=1,S100A6,10.2,5845077.9772753315,10370116.983950902
Q9NXH9,tRNA (guanine(26)-N(2))-dimethyltransferase OS=Homo sapiens OX=9606 GN=TRMT1 PE=1 SV=1,TRMT1,72.2,85799.49898324776,266523.7798765202
P98194,Calcium-transporting ATPase type 2C member 1 OS=Homo sapiens OX=9606 GN=ATP2C1 PE=1 SV=3,ATP2C1,100.5,138327.87967666588,297967.4941892283
Q9BYG3,MKI67 FHA domain-interacting nucleolar phosphoprotein OS=Homo sapiens OX=9606 GN=NIFK PE=1 SV=1,NIFK,34.2,137382.24685895545,190958.28803946797
O95070,Protein YIF1A OS=Homo sapiens OX=9606 GN=YIF1A PE=1 SV=2,YIF1A,32.0,164819.32764282756,350188.36909180466
Q01518,Adenylyl cyclase-associated protein 1 OS=Homo sapiens OX=9606 GN=CAP1 PE=1 SV=5,CAP1,51.9,256310.10095807174,902885.0384547155
Q15165,Serum paraoxonase/arylesterase 2 OS=Homo sapiens OX=9606 GN=PON2 PE=1 SV=4,PON2,39.4,711286.8601208208,2736432.5583559223
Q9Y2P8,RNA 3'-terminal phosphate cyclase-like protein OS=Homo sapiens OX=9606 GN=RCL1 PE=1 SV=3,RCL1,40.8,377648.7414828369,589798.3652922198
Q9NP64,Zinc finger CCHC domain-containing protein 17 OS=Homo sapiens OX=9606 GN=ZCCHC17 PE=1 SV=1,ZCCHC17,27.6,450789.24586141185,1643163.8913695915
Q8NBI5,Equilibrative nucleobase transporter 1 OS=Homo sapiens OX=9606 GN=SLC43A3 PE=1 SV=2,SLC43A3,54.5,1196851.6110929013,2109954.537861887
Q86YS7,C2 domain-containing protein 5 OS=Homo sapiens OX=9606 GN=C2CD5 PE=1 SV=1,C2CD5,110.4,247822.00428690293,79561627.4541194
Q9P003,Protein cornichon homolog 4 OS=Homo sapiens OX=9606 GN=CNIH4 PE=1 SV=1,CNIH4,16.1,846105.3595544824,1336990.0944149517
Q8TEK3,"Histone-lysine N-methyltransferase, H3 lysine-79 specific OS=Homo sapiens OX=9606 GN=DOT1L PE=1 SV=3",DOT1L,164.8,363610.14134204015,67855.78362061427
Q9H3K6,BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2 PE=1 SV=1,BOLA2,10.1,523164.71535965474,561302.1753718725
P41240,Tyrosine-protein kinase CSK OS=Homo sapiens OX=9606 GN=CSK PE=1 SV=1,CSK,50.7,1630210.927417988,1572057.0208800724
Q8NI77,Kinesin-like protein KIF18A OS=Homo sapiens OX=9606 GN=KIF18A PE=1 SV=2,KIF18A,102.2,177964.96989645038,99496.13671852423
P82933,Small ribosomal subunit protein uS9m OS=Homo sapiens OX=9606 GN=MRPS9 PE=1 SV=2,MRPS9,45.8,265369.58237701707,1433113.8289341189
Q13190,Syntaxin-5 OS=Homo sapiens OX=9606 GN=STX5 PE=1 SV=2,STX5,39.6,642710.62665985,359281.43023153575
Q5T9A4,ATPase family AAA domain-containing protein 3B OS=Homo sapiens OX=9606 GN=ATAD3B PE=1 SV=1,ATAD3B,72.5,428938.45352846564,863865.034116455
P06744,Glucose-6-phosphate isomerase OS=Homo sapiens OX=9606 GN=GPI PE=1 SV=4,GPI,63.1,344767.6948146286,1670148.0185204672
Q14592,Zinc finger protein 460 OS=Homo sapiens OX=9606 GN=ZNF460 PE=1 SV=2,ZNF460,63.6,421555.85352347157,190982.93642522144
O43318,Mitogen-activated protein kinase kinase kinase 7 OS=Homo sapiens OX=9606 GN=MAP3K7 PE=1 SV=1,MAP3K7,67.2,226981.3011601792,227896.41929303
Q8WXE0,Caskin-2 OS=Homo sapiens OX=9606 GN=CASKIN2 PE=1 SV=2,CASKIN2,126.7,135299.5405134503,218953.15997528634
Q8NEW0,Zinc transporter 7 OS=Homo sapiens OX=9606 GN=SLC30A7 PE=1 SV=1,SLC30A7,41.6,638358.7923514214,1003948.6314169802
Q9NX57,Ras-related protein Rab-20 OS=Homo sapiens OX=9606 GN=RAB20 PE=1 SV=1,RAB20,26.3,202368.41145742146,240461.92489658046
Q9Y2S7,Polymerase delta-interacting protein 2 OS=Homo sapiens OX=9606 GN=POLDIP2 PE=1 SV=1,POLDIP2,42.0,360336.49242837104,340173.43820376205
O14818,Proteasome subunit alpha type-7 OS=Homo sapiens OX=9606 GN=PSMA7 PE=1 SV=1,PSMA7,27.9,221654.83057489403,768351.0704791321
Q96S38,Ribosomal protein S6 kinase delta-1 OS=Homo sapiens OX=9606 GN=RPS6KC1 PE=1 SV=2,RPS6KC1,118.6,106848.44975631134,105458.58123229156
P15260,Interferon gamma receptor 1 OS=Homo sapiens OX=9606 GN=IFNGR1 PE=1 SV=1,IFNGR1,54.4,524331.0988560714,421889.6278583446
O94763,Unconventional prefoldin RPB5 interactor 1 OS=Homo sapiens OX=9606 GN=URI1 PE=1 SV=3,URI1,59.8,114232.04591710171,565572.2415986744
P53365,Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1,ARFIP2,37.8,318882.4204217451,352606.2449468683
Q9NS91,E3 ubiquitin-protein ligase RAD18 OS=Homo sapiens OX=9606 GN=RAD18 PE=1 SV=2,RAD18,56.2,458804.46865319874,420476.2290558462
O94874,E3 UFM1-protein ligase 1 OS=Homo sapiens OX=9606 GN=UFL1 PE=1 SV=2,UFL1,89.5,866008.5012796914,975615.8653244611
Q969X5,Endoplasmic reticulum-Golgi intermediate compartment protein 1 OS=Homo sapiens OX=9606 GN=ERGIC1 PE=1 SV=1,ERGIC1,32.6,666070.5567105098,727961.3603748336
Q9H0U3,Magnesium transporter protein 1 OS=Homo sapiens OX=9606 GN=MAGT1 PE=1 SV=1,MAGT1,38.0,1497543.2305183685,2079599.618202152
Q9UPS8,Ankyrin repeat domain-containing protein 26 OS=Homo sapiens OX=9606 GN=ANKRD26 PE=1 SV=4,ANKRD26,196.3,237497.05379787926,76743.87582681538
Q9UQN3,Charged multivesicular body protein 2b OS=Homo sapiens OX=9606 GN=CHMP2B PE=1 SV=1,CHMP2B,23.9,603100.8157834103,1034735.1895838035
Q8WXA9,Splicing regulatory glutamine/lysine-rich protein 1 OS=Homo sapiens OX=9606 GN=SREK1 PE=1 SV=1,SREK1,59.3,458908.43922163075,600998.3905672899
Q9P0U3,Sentrin-specific protease 1 OS=Homo sapiens OX=9606 GN=SENP1 PE=1 SV=2,SENP1,73.4,300637.36724825326,120511.24980628697
O94864,STAGA complex 65 subunit gamma OS=Homo sapiens OX=9606 GN=SUPT7L PE=1 SV=1,SUPT7L,46.2,104943.2251685141,224770.2997398955
O00287,Regulatory factor X-associated protein OS=Homo sapiens OX=9606 GN=RFXAP PE=1 SV=1,RFXAP,28.2,1137723.1235437128,1460560.5610130422
O94826,Mitochondrial import receptor subunit TOM70 OS=Homo sapiens OX=9606 GN=TOMM70 PE=1 SV=1,TOMM70,67.4,285778.9692007841,249970.22582145003
Q15691,Microtubule-associated protein RP/EB family member 1 OS=Homo sapiens OX=9606 GN=MAPRE1 PE=1 SV=3,MAPRE1,30.0,108089.44276762544,162096.55752811366
Q6PK04,Coiled-coil domain-containing protein 137 OS=Homo sapiens OX=9606 GN=CCDC137 PE=1 SV=1,CCDC137,33.2,639478.688577344,251378.5641594447
P40925,"Malate dehydrogenase, cytoplasmic OS=Homo sapiens OX=9606 GN=MDH1 PE=1 SV=4",MDH1,36.4,145910.75808162938,610073.5237790975
Q9BRX9,WD repeat domain-containing protein 83 OS=Homo sapiens OX=9606 GN=WDR83 PE=1 SV=1,WDR83,34.3,326151.17131332716,233917.32575357833
P49023,Paxillin OS=Homo sapiens OX=9606 GN=PXN PE=1 SV=3,PXN,64.5,167559.91826442146,660796.9840957357
O94855,Protein transport protein Sec24D OS=Homo sapiens OX=9606 GN=SEC24D PE=1 SV=2,SEC24D,112.9,226268.87096862876,133075.00487142065
O95747,Serine/threonine-protein kinase OSR1 OS=Homo sapiens OX=9606 GN=OXSR1 PE=1 SV=1,OXSR1,58.0,621200.1364723945,4387097.245266701
Q68D86,Coiled-coil domain-containing protein 102B OS=Homo sapiens OX=9606 GN=CCDC102B PE=1 SV=4,CCDC102B,60.4,907973.8374775413,1021403.3505763288
P16435,NADPH--cytochrome P450 reductase OS=Homo sapiens OX=9606 GN=POR PE=1 SV=2,POR,76.6,388917.48573271633,829026.9855713522
Q9BWW4,Single-stranded DNA-binding protein 3 OS=Homo sapiens OX=9606 GN=SSBP3 PE=1 SV=1,SSBP3,40.4,727591.7849399603,794315.7001529814
Q7Z6K3,Protein prenyltransferase alpha subunit repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=PTAR1 PE=1 SV=2,PTAR1,46.4,292195.8408605616,343425.53615951084
O95081,Arf-GAP domain and FG repeat-containing protein 2 OS=Homo sapiens OX=9606 GN=AGFG2 PE=1 SV=2,AGFG2,48.9,93298.96211149907,110828.47855254517
Q9UN86,Ras GTPase-activating protein-binding protein 2 OS=Homo sapiens OX=9606 GN=G3BP2 PE=1 SV=2,G3BP2,54.1,268019.9570429048,464105.32056095795
P01111,GTPase NRas OS=Homo sapiens OX=9606 GN=NRAS PE=1 SV=1,NRAS,21.2,174563.48098892247,273501.5064903219
Q14587,Zinc finger protein 268 OS=Homo sapiens OX=9606 GN=ZNF268 PE=1 SV=2,ZNF268,108.3,341516.3316940947,82322.71097373361
Q92574,Hamartin OS=Homo sapiens OX=9606 GN=TSC1 PE=1 SV=2,TSC1,129.7,88772.13004923933,420655.8856062923
Q5VTU8,"ATP synthase subunit epsilon-like protein, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1EP2 PE=1 SV=1",ATP5F1EP2,5.8,677552.1717913222,1565836.331707568
Q15125,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase OS=Homo sapiens OX=9606 GN=EBP PE=1 SV=3",EBP,26.3,2273023.596190818,4314424.065437921
Q06330,Recombining binding protein suppressor of hairless OS=Homo sapiens OX=9606 GN=RBPJ PE=1 SV=3,RBPJ,55.6,277710.96930863545,479632.7673473935
Q9BQ75,Protein CMSS1 OS=Homo sapiens OX=9606 GN=CMSS1 PE=1 SV=2,CMSS1,31.9,270573.37254461914,510756.82730885857
Q9Y6A4,Cilia- and flagella-associated protein 20 OS=Homo sapiens OX=9606 GN=CFAP20 PE=1 SV=1,CFAP20,22.8,88112.79623875466,241378.5430296416
Q9H6Y2,WD repeat-containing protein 55 OS=Homo sapiens OX=9606 GN=WDR55 PE=1 SV=2,WDR55,42.0,467166.5580017494,371347.2677833179
Q7L5Y1,Mitochondrial enolase superfamily member 1 OS=Homo sapiens OX=9606 GN=ENOSF1 PE=1 SV=1,ENOSF1,49.8,886011.7183487442,760937.3994361591
Q9H7L9,Sin3 histone deacetylase corepressor complex component SDS3 OS=Homo sapiens OX=9606 GN=SUDS3 PE=1 SV=2,SUDS3,38.1,502934.89838939934,230828.69186792037
Q8WWN8,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3 OS=Homo sapiens OX=9606 GN=ARAP3 PE=1 SV=1",ARAP3,169.7,254797.64910665117,402887.7043738357
O14936,Peripheral plasma membrane protein CASK OS=Homo sapiens OX=9606 GN=CASK PE=1 SV=3,CASK,105.1,213819.00522503868,251617.64344068788
Q9BT73,Proteasome assembly chaperone 3 OS=Homo sapiens OX=9606 GN=PSMG3 PE=1 SV=1,PSMG3,13.1,240636.83469799912,547997.3188013737
P10606,"Cytochrome c oxidase subunit 5B, mitochondrial OS=Homo sapiens OX=9606 GN=COX5B PE=1 SV=2",COX5B,13.7,290839.7918547746,780779.1688775312
Q8NG31,Kinetochore scaffold 1 OS=Homo sapiens OX=9606 GN=KNL1 PE=1 SV=3,KNL1,265.2,320027.361026085,859233.8438869505
P10398,Serine/threonine-protein kinase A-Raf OS=Homo sapiens OX=9606 GN=ARAF PE=1 SV=2,ARAF,67.5,377344.8884225084,277202.48676262127
Q8NI60,"Atypical kinase COQ8A, mitochondrial OS=Homo sapiens OX=9606 GN=COQ8A PE=1 SV=1",COQ8A,71.9,266121.5267484875,442290.0906899404
Q5TEC6,Histone H3-7 OS=Homo sapiens OX=9606 GN=H3-7 PE=1 SV=1,H3-7,15.4,276493.7180104666,1192540.251880358
Q9NZZ3,Charged multivesicular body protein 5 OS=Homo sapiens OX=9606 GN=CHMP5 PE=1 SV=1,CHMP5,24.6,365084.5093910944,1208923.5610441137
Q9Y6E2,eIF5-mimic protein 1 OS=Homo sapiens OX=9606 GN=BZW2 PE=1 SV=1,BZW2,48.1,197273.7897481116,266505.1074667413
Q03519,Antigen peptide transporter 2 OS=Homo sapiens OX=9606 GN=TAP2 PE=1 SV=1,TAP2,75.6,273342.5196323737,785761.724361093
O95996,Adenomatous polyposis coli protein 2 OS=Homo sapiens OX=9606 GN=APC2 PE=1 SV=1,APC2,243.8,417989.0410674419,510359.65629956225
Q96SB8,Structural maintenance of chromosomes protein 6 OS=Homo sapiens OX=9606 GN=SMC6 PE=1 SV=2,SMC6,126.2,105014.21404022879,142167.02977289358
Q9UI09,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 OS=Homo sapiens OX=9606 GN=NDUFA12 PE=1 SV=1,NDUFA12,17.1,341455.055341394,350572.1193065723
P35613,Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=2,BSG,42.2,431993.63781326875,1604890.3206364713
O43451,Maltase-glucoamylase OS=Homo sapiens OX=9606 GN=MGAM PE=1 SV=6,MGAM,311.8,291022.5225872553,901486.4186231036
P49006,MARCKS-related protein OS=Homo sapiens OX=9606 GN=MARCKSL1 PE=1 SV=2,MARCKSL1,19.5,479551.1372269972,523932.72754932137
P53680,AP-2 complex subunit sigma OS=Homo sapiens OX=9606 GN=AP2S1 PE=1 SV=2,AP2S1,17.0,2790978.8381863404,3299421.0052514323
Q9NZN8,CCR4-NOT transcription complex subunit 2 OS=Homo sapiens OX=9606 GN=CNOT2 PE=1 SV=1,CNOT2,59.7,560634.8729842339,668880.0449323796
Q9NWT1,p21-activated protein kinase-interacting protein 1 OS=Homo sapiens OX=9606 GN=PAK1IP1 PE=1 SV=2,PAK1IP1,43.9,341694.9245486523,1147212.5344770348
O95394,Phosphoacetylglucosamine mutase OS=Homo sapiens OX=9606 GN=PGM3 PE=1 SV=1,PGM3,59.8,257347.3098672871,232407.053764786
Q9H8G2,Caspase activity and apoptosis inhibitor 1 OS=Homo sapiens OX=9606 GN=CAAP1 PE=1 SV=2,CAAP1,38.3,247372.07391890636,330199.9367249165
Q9NXW2,DnaJ homolog subfamily B member 12 OS=Homo sapiens OX=9606 GN=DNAJB12 PE=1 SV=5,DNAJB12,41.8,135855.52316006864,175760.4756853642
Q96CB8,Integrator complex subunit 12 OS=Homo sapiens OX=9606 GN=INTS12 PE=1 SV=1,INTS12,48.8,340209.78396864707,664892.4793880094
P08574,"Cytochrome c1, heme protein, mitochondrial OS=Homo sapiens OX=9606 GN=CYC1 PE=1 SV=3",CYC1,35.4,468975.3981306403,1195297.9132784577
Q9NPQ8,Synembryn-A OS=Homo sapiens OX=9606 GN=RIC8A PE=1 SV=3,RIC8A,59.7,132613.06158556067,345800.77533750376
P16070,CD44 antigen OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=3,CD44,81.5,262257.4001009461,3008927.4851354654
P30740,Leukocyte elastase inhibitor OS=Homo sapiens OX=9606 GN=SERPINB1 PE=1 SV=1,SERPINB1,42.7,222958.26212067122,313832.8854351925
O43826,Glucose-6-phosphate exchanger SLC37A4 OS=Homo sapiens OX=9606 GN=SLC37A4 PE=1 SV=1,SLC37A4,46.3,125540.20217707586,520410.4832857144
Q8TB61,Adenosine 3'-phospho 5'-phosphosulfate transporter 1 OS=Homo sapiens OX=9606 GN=SLC35B2 PE=1 SV=1,SLC35B2,47.5,796834.0124069002,735916.0282731159
O75367,Core histone macro-H2A.1 OS=Homo sapiens OX=9606 GN=MACROH2A1 PE=1 SV=5,MACROH2A1,39.2,252175.38391393857,2078095.302068203
P53634,Dipeptidyl peptidase 1 OS=Homo sapiens OX=9606 GN=CTSC PE=1 SV=2,CTSC,51.8,225651.2799173776,406512.6066489646
Q969S9,"Ribosome-releasing factor 2, mitochondrial OS=Homo sapiens OX=9606 GN=GFM2 PE=1 SV=1",GFM2,86.5,299817.45440052747,515346.276251632
Q96EB6,NAD-dependent protein deacetylase sirtuin-1 OS=Homo sapiens OX=9606 GN=SIRT1 PE=1 SV=2,SIRT1,81.6,174920.73055417844,127271.78892962082
A0A1B0GUS4,Ubiquitin-conjugating enzyme E2 L5 OS=Homo sapiens OX=9606 GN=UBE2L5 PE=2 SV=1,UBE2L5,17.9,972245.9116247965,167270.2134555071
Q86WX3,Active regulator of SIRT1 OS=Homo sapiens OX=9606 GN=RPS19BP1 PE=1 SV=1,RPS19BP1,15.4,144688.8197427266,198382.38182841678
Q99986,Serine/threonine-protein kinase VRK1 OS=Homo sapiens OX=9606 GN=VRK1 PE=1 SV=1,VRK1,45.4,156129.65629203132,876109.8692516355
P84243,Histone H3.3 OS=Homo sapiens OX=9606 GN=H3-3A PE=1 SV=2,H3-3A,15.3,18643950.53112876,90874409.37550521
O15511,Actin-related protein 2/3 complex subunit 5 OS=Homo sapiens OX=9606 GN=ARPC5 PE=1 SV=3,ARPC5,16.3,405012.40047603025,384575.503086103
Q969M3,Protein YIPF5 OS=Homo sapiens OX=9606 GN=YIPF5 PE=1 SV=1,YIPF5,28.0,581652.5597907674,609817.603111017
P52209,"6-phosphogluconate dehydrogenase, decarboxylating OS=Homo sapiens OX=9606 GN=PGD PE=1 SV=3",PGD,53.1,449192.52306099253,214636.6139353492
Q96EI5,Transcription elongation factor A protein-like 4 OS=Homo sapiens OX=9606 GN=TCEAL4 PE=1 SV=2,TCEAL4,24.6,281515.2755234861,102020.25214646816
Q9Y324,rRNA-processing protein FCF1 homolog OS=Homo sapiens OX=9606 GN=FCF1 PE=1 SV=1,FCF1,23.4,257588.9287328031,795029.1954663027
P55809,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=OXCT1 PE=1 SV=1",OXCT1,56.1,176213.83017637604,2157265.2631716225
P23458,Tyrosine-protein kinase JAK1 OS=Homo sapiens OX=9606 GN=JAK1 PE=1 SV=2,JAK1,133.2,339973.3246793068,235525.7486204976
O00255,Menin OS=Homo sapiens OX=9606 GN=MEN1 PE=1 SV=5,MEN1,67.5,103018.58192830301,611225.7603588306
O75323,Protein NipSnap homolog 2 OS=Homo sapiens OX=9606 GN=NIPSNAP2 PE=1 SV=1,NIPSNAP2,33.7,463461.06277915504,629267.0507357186
P55084,"Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=HADHB PE=1 SV=3",HADHB,51.3,205022.20881245547,2345334.0058583617
Q9H0U9,Testis-specific Y-encoded-like protein 1 OS=Homo sapiens OX=9606 GN=TSPYL1 PE=1 SV=3,TSPYL1,49.2,187142.01685620163,280546.8199839162
P22694,cAMP-dependent protein kinase catalytic subunit beta OS=Homo sapiens OX=9606 GN=PRKACB PE=1 SV=2,PRKACB,40.6,185299.80550813457,1690906.7280330001
Q13098,COP9 signalosome complex subunit 1 OS=Homo sapiens OX=9606 GN=GPS1 PE=1 SV=4,GPS1,55.5,103948.43589362458,604499.3164923615
Q9UHQ9,NADH-cytochrome b5 reductase 1 OS=Homo sapiens OX=9606 GN=CYB5R1 PE=1 SV=1,CYB5R1,34.1,179368.34907378993,479304.481030854
Q9BQA1,Methylosome protein WDR77 OS=Homo sapiens OX=9606 GN=WDR77 PE=1 SV=1,WDR77,36.7,582887.0777894055,1692536.9622061697
Q15032,R3H domain-containing protein 1 OS=Homo sapiens OX=9606 GN=R3HDM1 PE=1 SV=3,R3HDM1,120.6,232999.5891747682,192340.64999704817
Q9UNM6,26S proteasome non-ATPase regulatory subunit 13 OS=Homo sapiens OX=9606 GN=PSMD13 PE=1 SV=2,PSMD13,42.9,373138.10972349526,476235.24391569913
Q96B23,Protein ARK2N OS=Homo sapiens OX=9606 GN=ARK2N PE=1 SV=3,ARK2N,43.4,173292.62884617562,265226.20836593205
P43487,Ran-specific GTPase-activating protein OS=Homo sapiens OX=9606 GN=RANBP1 PE=1 SV=1,RANBP1,23.3,640584.5236810648,900754.8746550715
Q68CQ4,U3 small nucleolar RNA-associated protein 25 homolog OS=Homo sapiens OX=9606 GN=UTP25 PE=1 SV=2,UTP25,87.0,76880.29673438687,327698.41732734087
Q5SVZ6,Zinc finger MYM-type protein 1 OS=Homo sapiens OX=9606 GN=ZMYM1 PE=1 SV=1,ZMYM1,128.6,230558.01770364514,813547.1151997036
Q92734,Protein TFG OS=Homo sapiens OX=9606 GN=TFG PE=1 SV=2,TFG,43.4,3867936.560325433,6154706.751715984
O60783,Small ribosomal subunit protein uS14m OS=Homo sapiens OX=9606 GN=MRPS14 PE=1 SV=1,MRPS14,15.1,171916.8610641131,615105.7784567908
Q8NHU6,Tudor domain-containing protein 7 OS=Homo sapiens OX=9606 GN=TDRD7 PE=1 SV=2,TDRD7,123.5,1742950.3999002967,181035.3912056592
